SCHL_NR_ID,CNSS_YR,CNSS_SB_ID,SCHOOL_NM,SCHL_DSTRT,ELMNTRY_ST,SCNDRY_SCT,SCHL_YR_PD,DT_PBLCTNR,LATITUDE,LONGITUDE,X,Y
370,2011,5915001,R C Garnett Demonstration Elementary,Langley,432,0,2016/2017,2017,49.131660,-122.66332,,
371,2011,5915001,R E Mountain Secondary,Langley,0,1123,2016/2017,2017,49.144283,-122.66318,,
372,2011,5915001,Richard Bulpitt Elementary,Langley,526,0,2016/2017,2017,49.143786,-122.64158,,
373,2011,5915001,Shortreed Community School,Langley,316,0,2016/2017,2017,49.052338,-122.46625,,
374,2011,5915002,Simonds Elementary,Langley,140,0,2016/2017,2017,49.089552,-122.66210,,
375,2011,5915001,St Catherines School,Langley,228,0,2016/2017,2017,49.059631,-122.66252,,
376,2011,5915001,Topham Elementary,Langley,364,0,2016/2017,2017,49.168315,-122.62569,,
377,2011,5915002,Uplands Elementary,Langley,264,0,2016/2017,2017,49.083092,-122.64866,,
378,2011,5915001,Walnut Grove Secondary,Langley,0,1924,2016/2017,2017,49.165804,-122.64184,,
379,2011,5915001,West Langley Elementary,Langley,260,0,2016/2017,2017,49.174650,-122.63639,,
380,2011,5915002,Whytecliff Agile Learning Centre-Langley,Langley,0,41,2016/2017,2017,49.106021,-122.65312,,
381,2011,5915001,Willoughby Elementary,Langley,362,0,2016/2017,2017,49.147097,-122.64679,,
382,2011,5915001,Wix-Brown Elementary,Langley,150,0,2016/2017,2017,49.045775,-122.56372,,
383,2011,5915001,Yorkson Creek Middle School,Langley,673,304,2016/2017,2017,49.154926,-122.64956,,
384,2011,5915004,A H P Matthew Elementary,Surrey,398,0,2016/2017,2017,49.178951,-122.85215,,
385,2011,5915004,A J McLellan Elementary,Surrey,511,0,2016/2017,2017,49.113413,-122.76355,,
386,2011,5915004,Adams Road Elementary,Surrey,551,0,2016/2017,2017,49.125902,-122.71712,,
387,2011,5915004,Bayridge Elementary,Surrey,321,0,2016/2017,2017,49.033423,-122.82840,,
388,2011,5915004,Bear Creek Elementary,Surrey,495,0,2016/2017,2017,49.148003,-122.84094,,
389,2011,5915004,Beaver Creek Elementary,Surrey,494,0,2016/2017,2017,49.121262,-122.88051,,
390,2011,5915004,Berkshire Park Elementary,Surrey,451,0,2016/2017,2017,49.173323,-122.79654,,
391,2011,5915004,Betty Huff Elementary,Surrey,380,0,2016/2017,2017,49.172463,-122.86040,,
392,2011,5915004,Bibleway Christian Academy,Surrey,46,51,2016/2017,2017,49.111390,-122.70558,,
393,2011,5915004,Bonaccord Elementary,Surrey,499,0,2016/2017,2017,49.180349,-122.80684,,
394,2011,5915004,Bothwell Elementary School,Surrey,211,0,2016/2017,2017,49.187787,-122.74857,,
78,2011,5903050,Burton Academy School,Arrow Lakes,0,11,2016/2017,2017,50.239167,-117.79750,,
79,2011,5903060,Edgewood Elementary,Arrow Lakes,19,0,2016/2017,2017,49.780833,-118.14305,,
80,2011,5903032,Lucerne Elem-Secondary,Arrow Lakes,53,25,2016/2017,2017,49.991389,-117.37722,,
81,2011,5903050,Nakusp Elementary,Arrow Lakes,164,0,2016/2017,2017,50.239167,-117.79750,,
82,2011,5903050,Nakusp Secondary,Arrow Lakes,0,147,2016/2017,2017,50.239167,-117.79750,,
83,2011,5939019,Arrow Heights Elementary,Revelstoke,134,0,2016/2017,2017,50.976789,-118.17818,,
84,2011,5939019,Begbie View Elementary,Revelstoke,259,0,2016/2017,2017,50.997342,-118.19737,,
85,2011,5939019,Columbia Park Elementary,Revelstoke,198,0,2016/2017,2017,51.015076,-118.21914,,
86,2011,5939019,Revelstoke Secondary,Revelstoke,0,383,2016/2017,2017,50.991520,-118.19755,,
87,2011,5903045,Continuing Ed SD 20,Kootenay-Columbia,0,4,2016/2017,2017,49.322379,-117.65953,,
88,2011,5905005,Fruitvale Elementary,Kootenay-Columbia,343,0,2016/2017,2017,49.111524,-117.54428,,
89,2011,5905014,Glenmerry Elementary,Kootenay-Columbia,376,0,2016/2017,2017,49.098802,-117.66131,,
90,2011,5905014,J Lloyd Crowe Secondary,Kootenay-Columbia,0,796,2016/2017,2017,49.102940,-117.69901,,
91,2011,5905018,James L Webster Elementary,Kootenay-Columbia,272,0,2016/2017,2017,49.095372,-117.74500,,
92,2011,5903045,Kinnaird Elementary,Kootenay-Columbia,329,0,2016/2017,2017,49.288651,-117.65442,,
93,2011,5905014,Kootenay-Columbia Learning Centre,Kootenay-Columbia,4,88,2016/2017,2017,49.097067,-117.69487,,
94,2011,5903058,Robson Community School,Kootenay-Columbia,169,0,2016/2017,2017,49.334445,-117.69138,,
95,2011,5905023,Rossland Summit School,Kootenay-Columbia,345,51,2016/2017,2017,49.080751,-117.79978,,
96,2011,5905014,St Michael's Elementary,Kootenay-Columbia,161,0,2016/2017,2017,49.101529,-117.70196,,
97,2011,5903045,Stanley Humphries Secondary,Kootenay-Columbia,0,556,2016/2017,2017,49.319958,-117.65970,,
98,2011,5903045,Twin Rivers Elementary,Kootenay-Columbia,428,0,2016/2017,2017,49.321396,-117.65956,,
99,2011,5937014,Alexis Park Elementary,Vernon,298,0,2016/2017,2017,50.273490,-119.27969,,
100,2011,5937014,Alternative Learning Program,Vernon,0,43,2016/2017,2017,50.251843,-119.25110,,
101,2011,5937021,B X Elementary,Vernon,401,0,2016/2017,2017,50.290300,-119.22332,,
